"基本数量ＩＤ","数量タイプ","単位","総数量","１Ｆ","２Ｆ","３Ｆ","Ｂ１Ｆ","Ｂ２Ｆ"
"シンプルガラスバルコニー３Ｐ両入隅箇所数","実数","ケ所","0","","","","",""
"シンプルガラスバルコニー４Ｐ両入隅箇所数","実数","ケ所","0","","","","",""
"ＮＳモルタル仕上げ面積","実数","Ｍ２","0","","","","",""
"内部建具アウトセット引戸開口幅長さ","実数","Ｍ","0","","","","",""
"ＸＬワイドＨ遮煙機能付き５ヶ所停止用","実数","ケ所","0","","","","",""
"１４１４ミディモダンＨ遮煙機能付き５ヶ所停止用","実数","ケ所","0","","","","",""
"ＸＬワイドＨ遮煙機能付き２ヶ所停止用","実数","ケ所","0","","","","",""
"ＸＬワイドＨ遮煙機能付き３ヶ所停止用","実数","ケ所","0","","","","",""
"ＸＬワイドＨ遮煙機能付き４ヶ所停止用","実数","ケ所","0","","","","",""
"１４１４ミディモダンＨ遮煙機能付き２ヶ所停止用","実数","ケ所","0","","","","",""
"１４１４ミディモダンＨ遮煙機能付き３ヶ所停止用","実数","ケ所","0","","","","",""
"１４１４ミディモダンＨ遮煙機能付き４ヶ所停止用","実数","ケ所","0","","","","",""
"１４１８フォレストＨ遮煙機能付き２ヶ所停止用","実数","ケ所","0","","","","",""
"１４１８フォレストＨ遮煙機能付き３ヶ所停止用","実数","ケ所","0","","","","",""
"１４１８フォレストＨ遮煙機能付き４ヶ所停止用","実数","ケ所","0","","","","",""
"１４１８フォレストＨ遮煙機能付き５ヶ所停止用","実数","ケ所","0","","","","",""
"１２１２スリムモダンＨ遮煙機能付き２ヶ所停止用","実数","ケ所","0","","","","",""
"１２１２スリムモダンＨ遮煙機能付き３ヶ所停止用","実数","ケ所","0","","","","",""
"１２１２スリムモダンＨ遮煙機能付き４ヶ所停止用","実数","ケ所","0","","","","",""
"最上階直下内装Ｐ上断熱材201610地下室対応","実数","ｍ","37.8","37.8","0","0","",""
"１２１２スリムモダンＨ遮煙機能付き５ヶ所停止用","実数","ケ所","0","","","","",""
"１６０８フィットＨ遮煙機能付き２ヶ所停止用","実数","ケ所","0","","","","",""
"１６０８フィットＨ遮煙機能付き３ヶ所停止用","実数","ケ所","0","","","","",""
"１６０８フィットＨ遮煙機能付き４ヶ所停止用","実数","ケ所","0","","","","",""
"１６０８フィットＨ遮煙機能付き５ヶ所停止用","実数","ケ所","0","","","","",""
"玄関タイル段鼻長さ（工）","実数","Ｍ","0","","","","",""
"玄関タイル段鼻長さ（材工）","実数","Ｍ","0","","","","",""
"防災庫部屋箇所数","実数","ケ所","0","","","","",""
"防災庫部屋周長","実数","Ｍ","0","","","","",""
"ｴﾝﾎﾞｽ･ﾘﾌﾞ柄（高意匠ﾀｲﾌﾟ） t 14Ｈ型アルミフラット庇（４５０）廻し込み面積","実数","Ｍ２","0","","","","",""
"ｴﾝﾎﾞｽ･ﾘﾌﾞ柄（高意匠ﾀｲﾌﾟ） t 14Ｈ型アルミフラット庇（４５０）面積","実数","Ｍ２","0","","","","",""
"ｴﾝﾎﾞｽ･ﾘﾌﾞ柄（高意匠ﾀｲﾌﾟ） t 14Ｈ型アルミフラット庇（６００）面積","実数","Ｍ２","0","","","","",""
"ｴﾝﾎﾞｽ･ﾘﾌﾞ柄（高意匠ﾀｲﾌﾟ） t 14Ｈ型アルミフラット庇（７５０）面積","実数","Ｍ２","0","","","","",""
"ｴﾝﾎﾞｽ･ﾘﾌﾞ柄（高意匠ﾀｲﾌﾟ） t 14Ｈ型アルミフラット庇（９００）廻し込み面積","実数","Ｍ２","0","","","","",""
"ｴﾝﾎﾞｽ･ﾘﾌﾞ柄（高意匠ﾀｲﾌﾟ） t 14Ｈ型アルミフラット庇（９００）面積","実数","Ｍ２","0","","","","",""
"ｴﾝﾎﾞｽ･ﾘﾌﾞ柄（高意匠ﾀｲﾌﾟ） t 14Ｈ型アルミフラット庇（１０５０）廻し込み面積","実数","Ｍ２","0","","","","",""
"ｴﾝﾎﾞｽ･ﾘﾌﾞ柄（高意匠ﾀｲﾌﾟ） t 14Ｈ型アルミフラット庇（１０５０）面積","実数","Ｍ２","0","","","","",""
"ｴﾝﾎﾞｽ･ﾘﾌﾞ柄（高意匠ﾀｲﾌﾟ） t 14Ｈ型アルミフラット庇（４５０）（特注）面積","実数","Ｍ２","0","","","","",""
"ｴﾝﾎﾞｽ･ﾘﾌﾞ柄（高意匠ﾀｲﾌﾟ） t 14Ｈ型アルミフラット庇（６００）（特注）面積","実数","Ｍ２","0","","","","",""
"ｴﾝﾎﾞｽ･ﾘﾌﾞ柄（高意匠ﾀｲﾌﾟ） t 14Ｈ型アルミフラット庇（７５０）（特注）面積","実数","Ｍ２","0","","","","",""
"ｴﾝﾎﾞｽ･ﾘﾌﾞ柄（高意匠ﾀｲﾌﾟ） t 14Ｈ型アルミフラット庇（９００）（特注）面積","実数","Ｍ２","0","","","","",""
"ｴﾝﾎﾞｽ･ﾘﾌﾞ柄（高意匠ﾀｲﾌﾟ） t 14Ｈ型アルミフラット庇（１０５０）（特注）面積","実数","Ｍ２","0","","","","",""
"ｴﾝﾎﾞｽ･ﾘﾌﾞ柄（高意匠ﾀｲﾌﾟ） t 20Ｈ型アルミフラット庇（４５０）廻し込み面積","実数","Ｍ２","0","","","","",""
"ｴﾝﾎﾞｽ･ﾘﾌﾞ柄（高意匠ﾀｲﾌﾟ） t 20Ｈ型アルミフラット庇（４５０）面積","実数","Ｍ２","0","","","","",""
"◆◆◆屋根◆◆◆2","","","0","","","","",""
"ｴﾝﾎﾞｽ･ﾘﾌﾞ柄（高意匠ﾀｲﾌﾟ） t 20Ｈ型アルミフラット庇（６００）面積","実数","Ｍ２","0","","","","",""
"ｴﾝﾎﾞｽ･ﾘﾌﾞ柄（高意匠ﾀｲﾌﾟ） t 20Ｈ型アルミフラット庇（７５０）面積","実数","Ｍ２","0","","","","",""
"ｴﾝﾎﾞｽ･ﾘﾌﾞ柄（高意匠ﾀｲﾌﾟ） t 20Ｈ型アルミフラット庇（９００）廻し込み面積","実数","Ｍ２","0","","","","",""
"ｴﾝﾎﾞｽ･ﾘﾌﾞ柄（高意匠ﾀｲﾌﾟ） t 20Ｈ型アルミフラット庇（９００）面積","実数","Ｍ２","0","","","","",""
"ｴﾝﾎﾞｽ･ﾘﾌﾞ柄（高意匠ﾀｲﾌﾟ） t 20Ｈ型アルミフラット庇（１０５０）廻し込み面積","実数","Ｍ２","0","","","","",""
"ｴﾝﾎﾞｽ･ﾘﾌﾞ柄（高意匠ﾀｲﾌﾟ） t 20Ｈ型アルミフラット庇（１０５０）面積","実数","Ｍ２","0","","","","",""
"ｴﾝﾎﾞｽ･ﾘﾌﾞ柄（高意匠ﾀｲﾌﾟ） t 20Ｈ型アルミフラット庇（４５０）（特注）面積","実数","Ｍ２","0","","","","",""
"ｴﾝﾎﾞｽ･ﾘﾌﾞ柄（高意匠ﾀｲﾌﾟ） t 20Ｈ型アルミフラット庇（６００）（特注）面積","実数","Ｍ２","0","","","","",""
"ｴﾝﾎﾞｽ･ﾘﾌﾞ柄（高意匠ﾀｲﾌﾟ） t 20Ｈ型アルミフラット庇（７５０）（特注）面積","実数","Ｍ２","0","","","","",""
"ｴﾝﾎﾞｽ･ﾘﾌﾞ柄（高意匠ﾀｲﾌﾟ） t 20Ｈ型アルミフラット庇（９００）（特注）面積","実数","Ｍ２","0","","","","",""
"ｴﾝﾎﾞｽ･ﾘﾌﾞ柄（高意匠ﾀｲﾌﾟ） t 20Ｈ型アルミフラット庇（１０５０）（特注）面積","実数","Ｍ２","0","","","","",""
"ｴﾝﾎﾞｽ柄  t 12Ｈ型アルミフラット庇（４５０）廻し込み面積","実数","Ｍ２","0","","","","",""
"ｴﾝﾎﾞｽ柄  t 12Ｈ型アルミフラット庇（４５０）面積","実数","Ｍ２","0","","","","",""
"ｴﾝﾎﾞｽ柄  t 12Ｈ型アルミフラット庇（６００）面積","実数","Ｍ２","0","","","","",""
"ｴﾝﾎﾞｽ柄  t 12Ｈ型アルミフラット庇（７５０）面積","実数","Ｍ２","0","","","","",""
"ｴﾝﾎﾞｽ柄  t 12Ｈ型アルミフラット庇（９００）廻し込み面積","実数","Ｍ２","0","","","","",""
"ｴﾝﾎﾞｽ柄  t 12Ｈ型アルミフラット庇（９００）面積","実数","Ｍ２","0","","","","",""
"ｴﾝﾎﾞｽ柄  t 12Ｈ型アルミフラット庇（１０５０）廻し込み面積","実数","Ｍ２","0","","","","",""
"ｴﾝﾎﾞｽ柄  t 12Ｈ型アルミフラット庇（１０５０）面積","実数","Ｍ２","0","","","","",""
"ｴﾝﾎﾞｽ柄  t 12Ｈ型アルミフラット庇（４５０）（特注）面積","実数","Ｍ２","0","","","","",""
"ｴﾝﾎﾞｽ柄  t 12Ｈ型アルミフラット庇（６００）（特注）面積","実数","Ｍ２","0","","","","",""
"ｴﾝﾎﾞｽ柄  t 12Ｈ型アルミフラット庇（７５０）（特注）面積","実数","Ｍ２","0","","","","",""
"ｴﾝﾎﾞｽ柄  t 12Ｈ型アルミフラット庇（９００）（特注）面積","実数","Ｍ２","0","","","","",""
"ｴﾝﾎﾞｽ柄  t 12Ｈ型アルミフラット庇（１０５０）（特注）面積","実数","Ｍ２","0","","","","",""
"ｴﾝﾎﾞｽ柄  t 14Ｈ型アルミフラット庇（４５０）廻し込み面積","実数","Ｍ２","0","","","","",""
"ｴﾝﾎﾞｽ柄  t 14Ｈ型アルミフラット庇（４５０）面積","実数","Ｍ２","0","","","","",""
"ｴﾝﾎﾞｽ柄  t 14Ｈ型アルミフラット庇（６００）面積","実数","Ｍ２","0","","","","",""
"ｴﾝﾎﾞｽ柄  t 14Ｈ型アルミフラット庇（７５０）面積","実数","Ｍ２","0","","","","",""
"ｴﾝﾎﾞｽ柄  t 14Ｈ型アルミフラット庇（９００）廻し込み面積","実数","Ｍ２","0","","","","",""
"ｴﾝﾎﾞｽ柄  t 14Ｈ型アルミフラット庇（９００）面積","実数","Ｍ２","0","","","","",""
"ｴﾝﾎﾞｽ柄  t 14Ｈ型アルミフラット庇（１０５０）廻し込み面積","実数","Ｍ２","0","","","","",""
"ｴﾝﾎﾞｽ柄  t 14Ｈ型アルミフラット庇（１０５０）面積","実数","Ｍ２","0","","","","",""
"ｴﾝﾎﾞｽ柄  t 14Ｈ型アルミフラット庇（４５０）（特注）面積","実数","Ｍ２","0","","","","",""
"ｴﾝﾎﾞｽ柄  t 14Ｈ型アルミフラット庇（６００）（特注）面積","実数","Ｍ２","0","","","","",""
"ｴﾝﾎﾞｽ柄  t 14Ｈ型アルミフラット庇（７５０）（特注）面積","実数","Ｍ２","0","","","","",""
"ｴﾝﾎﾞｽ柄  t 14Ｈ型アルミフラット庇（９００）（特注）面積","実数","Ｍ２","0","","","","",""
"ｴﾝﾎﾞｽ柄  t 14Ｈ型アルミフラット庇（１０５０）（特注）面積","実数","Ｍ２","0","","","","",""
"ｴﾝﾎﾞｽ柄  t 18Ｈ型アルミフラット庇（４５０）廻し込み面積","実数","Ｍ２","0","","","","",""
"ｴﾝﾎﾞｽ柄  t 18Ｈ型アルミフラット庇（４５０）面積","実数","Ｍ２","0","","","","",""
"ｴﾝﾎﾞｽ柄  t 18Ｈ型アルミフラット庇（６００）面積","実数","Ｍ２","0","","","","",""
"ｴﾝﾎﾞｽ柄  t 18Ｈ型アルミフラット庇（７５０）面積","実数","Ｍ２","0","","","","",""
"ｴﾝﾎﾞｽ柄  t 18Ｈ型アルミフラット庇（９００）廻し込み面積","実数","Ｍ２","0","","","","",""
"ｴﾝﾎﾞｽ柄  t 18Ｈ型アルミフラット庇（９００）面積","実数","Ｍ２","0","","","","",""
"ｴﾝﾎﾞｽ柄  t 18Ｈ型アルミフラット庇（１０５０）廻し込み面積","実数","Ｍ２","0","","","","",""
"ｴﾝﾎﾞｽ柄  t 18Ｈ型アルミフラット庇（１０５０）面積","実数","Ｍ２","0","","","","",""
"ｴﾝﾎﾞｽ柄  t 18Ｈ型アルミフラット庇（４５０）（特注）面積","実数","Ｍ２","0","","","","",""
"ｴﾝﾎﾞｽ柄  t 18Ｈ型アルミフラット庇（６００）（特注）面積","実数","Ｍ２","0","","","","",""
"ｴﾝﾎﾞｽ柄  t 18Ｈ型アルミフラット庇（７５０）（特注）面積","実数","Ｍ２","0","","","","",""
"ｴﾝﾎﾞｽ柄  t 18Ｈ型アルミフラット庇（９００）（特注）面積","実数","Ｍ２","0","","","","",""
"ｴﾝﾎﾞｽ柄  t 18Ｈ型アルミフラット庇（１０５０）（特注）面積","実数","Ｍ２","0","","","","",""
"ｽﾄﾗｲﾌﾟ柄  t 14Ｈ型アルミフラット庇（４５０）廻し込み面積","実数","Ｍ２","0","","","","",""
"ｽﾄﾗｲﾌﾟ柄  t 14Ｈ型アルミフラット庇（４５０）面積","実数","Ｍ２","0","","","","",""
"ｽﾄﾗｲﾌﾟ柄  t 14Ｈ型アルミフラット庇（６００）面積","実数","Ｍ２","0","","","","",""
"ｽﾄﾗｲﾌﾟ柄  t 14Ｈ型アルミフラット庇（７５０）面積","実数","Ｍ２","0","","","","",""
"ｽﾄﾗｲﾌﾟ柄  t 14Ｈ型アルミフラット庇（９００）廻し込み面積","実数","Ｍ２","0","","","","",""
"ｽﾄﾗｲﾌﾟ柄  t 14Ｈ型アルミフラット庇（９００）面積","実数","Ｍ２","0","","","","",""
"ｽﾄﾗｲﾌﾟ柄  t 14Ｈ型アルミフラット庇（１０５０）廻し込み面積","実数","Ｍ２","0","","","","",""
"木製屋根パネル（３８×８５）201701条件式修正","実数","㎡","80","80","0","0","",""
"ｽﾄﾗｲﾌﾟ柄  t 14Ｈ型アルミフラット庇（１０５０）面積","実数","Ｍ２","0","","","","",""
"ｽﾄﾗｲﾌﾟ柄  t 14Ｈ型アルミフラット庇（４５０）（特注）面積","実数","Ｍ２","0","","","","",""
"ｽﾄﾗｲﾌﾟ柄  t 14Ｈ型アルミフラット庇（６００）（特注）面積","実数","Ｍ２","0","","","","",""
"ｽﾄﾗｲﾌﾟ柄  t 14Ｈ型アルミフラット庇（７５０）（特注）面積","実数","Ｍ２","0","","","","",""
"ｽﾄﾗｲﾌﾟ柄  t 14Ｈ型アルミフラット庇（９００）（特注）面積","実数","Ｍ２","0","","","","",""
"ｽﾄﾗｲﾌﾟ柄  t 14Ｈ型アルミフラット庇（１０５０）（特注）面積","実数","Ｍ２","0","","","","",""
"ｽﾄﾗｲﾌﾟ柄  t 20Ｈ型アルミフラット庇（４５０）廻し込み面積","実数","Ｍ２","0","","","","",""
"ｽﾄﾗｲﾌﾟ柄  t 20Ｈ型アルミフラット庇（４５０）面積","実数","Ｍ２","0","","","","",""
"ｽﾄﾗｲﾌﾟ柄  t 20Ｈ型アルミフラット庇（６００）面積","実数","Ｍ２","0","","","","",""
"木製屋根パネル（０～１５０㎝）差額201701条件式修正","実数","㎡","80","80","0","0","",""
"ｽﾄﾗｲﾌﾟ柄  t 20Ｈ型アルミフラット庇（７５０）面積","実数","Ｍ２","0","","","","",""
"ｽﾄﾗｲﾌﾟ柄  t 20Ｈ型アルミフラット庇（９００）廻し込み面積","実数","Ｍ２","0","","","","",""
"ｽﾄﾗｲﾌﾟ柄  t 20Ｈ型アルミフラット庇（９００）面積","実数","Ｍ２","0","","","","",""
"ｽﾄﾗｲﾌﾟ柄  t 20Ｈ型アルミフラット庇（１０５０）廻し込み面積","実数","Ｍ２","0","","","","",""
"ｽﾄﾗｲﾌﾟ柄  t 20Ｈ型アルミフラット庇（１０５０）面積","実数","Ｍ２","0","","","","",""
"ｽﾄﾗｲﾌﾟ柄  t 20Ｈ型アルミフラット庇（４５０）（特注）面積","実数","Ｍ２","0","","","","",""
"ｽﾄﾗｲﾌﾟ柄  t 20Ｈ型アルミフラット庇（６００）（特注）面積","実数","Ｍ２","0","","","","",""
"ｽﾄﾗｲﾌﾟ柄  t 20Ｈ型アルミフラット庇（７５０）（特注）面積","実数","Ｍ２","0","","","","",""
"ｽﾄﾗｲﾌﾟ柄  t 20Ｈ型アルミフラット庇（９００）（特注）面積","実数","Ｍ２","0","","","","",""
"ｽﾄﾗｲﾌﾟ柄  t 20Ｈ型アルミフラット庇（１０５０）（特注）面積","実数","Ｍ２","0","","","","",""
"木目調･ﾘﾌﾞ柄N（高意匠ﾀｲﾌﾟ） t 14Ｈ型アルミフラット庇（４５０）廻し込み面積","実数","Ｍ２","0","","","","",""
"木目調･ﾘﾌﾞ柄N（高意匠ﾀｲﾌﾟ） t 14Ｈ型アルミフラット庇（４５０）面積","実数","Ｍ２","0","","","","",""
"木目調･ﾘﾌﾞ柄N（高意匠ﾀｲﾌﾟ） t 14Ｈ型アルミフラット庇（６００）面積","実数","Ｍ２","0","","","","",""
"木目調･ﾘﾌﾞ柄N（高意匠ﾀｲﾌﾟ） t 14Ｈ型アルミフラット庇（７５０）面積","実数","Ｍ２","0","","","","",""
"木目調･ﾘﾌﾞ柄N（高意匠ﾀｲﾌﾟ） t 14Ｈ型アルミフラット庇（９００）廻し込み面積","実数","Ｍ２","0","","","","",""
"木目調･ﾘﾌﾞ柄N（高意匠ﾀｲﾌﾟ） t 14Ｈ型アルミフラット庇（９００）面積","実数","Ｍ２","0","","","","",""
"木目調･ﾘﾌﾞ柄N（高意匠ﾀｲﾌﾟ） t 14Ｈ型アルミフラット庇（１０５０）廻し込み面積","実数","Ｍ２","0","","","","",""
"妻面戸セットバック　部材＜差額＞201607展開","実数","㎡","0","0","0","0","",""
"木目調･ﾘﾌﾞ柄N（高意匠ﾀｲﾌﾟ） t 14Ｈ型アルミフラット庇（１０５０）面積","実数","Ｍ２","0","","","","",""
"木目調･ﾘﾌﾞ柄N（高意匠ﾀｲﾌﾟ） t 14Ｈ型アルミフラット庇（４５０）（特注）面積","実数","Ｍ２","0","","","","",""
"木目調･ﾘﾌﾞ柄N（高意匠ﾀｲﾌﾟ） t 14Ｈ型アルミフラット庇（６００）（特注）面積","実数","Ｍ２","0","","","","",""
"勾配屋根ユニット面積202201展開","実数","P2","73","7","66","0","",""
"木目調･ﾘﾌﾞ柄N（高意匠ﾀｲﾌﾟ） t 14Ｈ型アルミフラット庇（７５０）（特注）面積","実数","Ｍ２","0","","","","",""
"木目調･ﾘﾌﾞ柄N（高意匠ﾀｲﾌﾟ） t 14Ｈ型アルミフラット庇（９００）（特注）面積","実数","Ｍ２","0","","","","",""
"木目調･ﾘﾌﾞ柄N（高意匠ﾀｲﾌﾟ） t 14Ｈ型アルミフラット庇（１０５０）（特注）面積","実数","Ｍ２","0","","","","",""
"屋根上バルコニーユニット面積1805展開","実数","P2","0","0","0","0","",""
"木目調･ﾘﾌﾞ柄N（高意匠ﾀｲﾌﾟ） t 20Ｈ型アルミフラット庇（４５０）廻し込み面積","実数","Ｍ２","0","","","","",""
"木目調･ﾘﾌﾞ柄N（高意匠ﾀｲﾌﾟ） t 20Ｈ型アルミフラット庇（４５０）面積","実数","Ｍ２","0","","","","",""
"木目調･ﾘﾌﾞ柄N（高意匠ﾀｲﾌﾟ） t 20Ｈ型アルミフラット庇（６００）面積","実数","Ｍ２","0","","","","",""
"木目調･ﾘﾌﾞ柄N（高意匠ﾀｲﾌﾟ） t 20Ｈ型アルミフラット庇（７５０）面積","実数","Ｍ２","0","","","","",""
"木目調･ﾘﾌﾞ柄N（高意匠ﾀｲﾌﾟ） t 20Ｈ型アルミフラット庇（９００）廻し込み面積","実数","Ｍ２","0","","","","",""
"木目調･ﾘﾌﾞ柄N（高意匠ﾀｲﾌﾟ） t 20Ｈ型アルミフラット庇（９００）面積","実数","Ｍ２","0","","","","",""
"フラット屋根ユニット面積　ＨＳ２Ｇ202201展開","実数","P2","0","0","0","0","",""
"木目調･ﾘﾌﾞ柄N（高意匠ﾀｲﾌﾟ） t 20Ｈ型アルミフラット庇（１０５０）廻し込み面積","実数","Ｍ２","0","","","","",""
"木目調･ﾘﾌﾞ柄N（高意匠ﾀｲﾌﾟ） t 20Ｈ型アルミフラット庇（１０５０）面積","実数","Ｍ２","0","","","","",""
"木目調･ﾘﾌﾞ柄N（高意匠ﾀｲﾌﾟ） t 20Ｈ型アルミフラット庇（４５０）（特注）面積","実数","Ｍ２","0","","","","",""
"木目調･ﾘﾌﾞ柄N（高意匠ﾀｲﾌﾟ） t 20Ｈ型アルミフラット庇（６００）（特注）面積","実数","Ｍ２","0","","","","",""
"木目調･ﾘﾌﾞ柄N（高意匠ﾀｲﾌﾟ） t 20Ｈ型アルミフラット庇（７５０）（特注）面積","実数","Ｍ２","0","","","","",""
"木目調･ﾘﾌﾞ柄N（高意匠ﾀｲﾌﾟ） t 20Ｈ型アルミフラット庇（９００）（特注）面積","実数","Ｍ２","0","","","","",""
"木目調･ﾘﾌﾞ柄N（高意匠ﾀｲﾌﾟ） t 20Ｈ型アルミフラット庇（１０５０）（特注）面積","実数","Ｍ２","0","","","","",""
"木目柄 t 12Ｈ型アルミフラット庇（４５０）廻し込み面積","実数","Ｍ２","0","","","","",""
"木目柄 t 12Ｈ型アルミフラット庇（４５０）面積","実数","Ｍ２","0","","","","",""
"木目柄 t 12Ｈ型アルミフラット庇（６００）面積","実数","Ｍ２","0","","","","",""
"木目柄 t 12Ｈ型アルミフラット庇（７５０）面積","実数","Ｍ２","0","","","","",""
"１２．５寸勾配架構ユニット面積","実数","P2","0","0","0","0","",""
"木目柄 t 12Ｈ型アルミフラット庇（９００）廻し込み面積","実数","Ｍ２","0","","","","",""
"木目柄 t 12Ｈ型アルミフラット庇（９００）面積","実数","Ｍ２","0","","","","",""
"木目柄 t 12Ｈ型アルミフラット庇（１０５０）廻し込み面積","実数","Ｍ２","0","","","","",""
"木目柄 t 12Ｈ型アルミフラット庇（１０５０）面積","実数","Ｍ２","0","","","","",""
"木目柄 t 12Ｈ型アルミフラット庇（４５０）（特注）面積","実数","Ｍ２","0","","","","",""
"木目柄 t 12Ｈ型アルミフラット庇（６００）（特注）面積","実数","Ｍ２","0","","","","",""
"木目柄 t 12Ｈ型アルミフラット庇（７５０）（特注）面積","実数","Ｍ２","0","","","","",""
"木目柄 t 12Ｈ型アルミフラット庇（９００）（特注）面積","実数","Ｍ２","0","","","","",""
"木目柄 t 12Ｈ型アルミフラット庇（１０５０）（特注）面積","実数","Ｍ２","0","","","","",""
"吹抜（ロフト用）部屋箇所数","実数","ケ所","0","","","","",""
"賃貸吹抜（ロフト用）部屋箇所数","実数","ケ所","0","","","","",""
"吹抜（ロフト用）部屋周長","実数","Ｍ","0","","","","",""
"賃貸吹抜（ロフト用）部屋周長","実数","Ｍ","0","","","","",""
"玄関框ﾗｲﾌﾞﾅﾁｭﾗﾙﾌﾟﾚﾐｱﾑﾓｰﾒﾝﾄ長さ","実数","Ｍ","0","","","","",""
"タイル見切縁ﾗｲﾌﾞﾅﾁｭﾗﾙﾌﾟﾚﾐｱﾑﾓｰﾒﾝﾄ長さ","実数","Ｍ","0","","","","",""
"防汚クロス③（壁）部分貼長さ","実数","Ｍ","0","","","","",""
"透湿クロスＤＸ⑨（壁）部分貼長さ","実数","Ｍ","0","","","","",""
"透湿クロスＤＸ⑩（壁）部分貼長さ","実数","Ｍ","0","","","","",""
"埋込竪スベリ窓箇所数","実数","ケ所","3","1","2","0","",""
"埋込横スベリ窓箇所数","実数","ケ所","0","","","","",""
"埋込ＦＩＸ窓２箇所数","実数","ケ所","9","4","5","0","",""
"埋込アクセント窓箇所数","実数","ケ所","0","","","","",""
"階段上収納部屋面積（ＣＡＬ）","実数","Ｍ２","0","","","","",""
"クリアタイプ竪格子ＥＸ２バルコニー腰壁長さ","実数","Ｍ","0","","","","",""
"クリアタイプ竪格子ＥＸ２バルコニー箇所数","実数","ケ所","0","","","","",""
"クリアタイプ竪格子ＥＸ２バルコニー腰壁面積","実数","Ｍ２","0","","","","",""
"クリアタイプ竪格子ＥＸ２段差有バルコニー床周長","実数","Ｍ","0","","","","",""
"クリアタイプ竪格子ＥＸ２単純段差バルコニー床周長","実数","Ｍ","0","","","","",""
"クリアタイプ竪格子ＥＸ２単純段差フルフラットバルコニー床周長","実数","Ｍ","0","","","","",""
"クリアタイプ竪格子ＥＸ２段差有バルコニー立上り長さ","実数","Ｍ","0","","","","",""
"クリアタイプ竪格子ＥＸ２単純段差バルコニー立上り長さ","実数","Ｍ","0","","","","",""
"クリアタイプ竪格子ＥＸ２単純段差フルフラットバルコニー立上り長さ","実数","Ｍ","0","","","","",""
"クリアタイプ竪格子ＥＸ２バルコニー（隣接配置用）箇所数","実数","ケ所","0","","","","",""
"クリアタイプ竪格子ＥＸ２バルコニー（隣接配置用）腰壁長さ","実数","Ｍ","0","","","","",""
"クリアタイプ竪格子ＥＸ２バルコニー（隣接配置用）腰壁面積","実数","Ｍ２","0","","","","",""
"クリアタイプ竪格子ＥＸ２バルコニー（木調）箇所数","実数","ケ所","0","","","","",""
"クリアタイプ竪格子ＥＸ２バルコニー（木調）腰壁面積","実数","Ｍ２","0","","","","",""
"クリアタイプ竪格子ＥＸ２段差有バルコニー（木調）床周長","実数","Ｍ","0","","","","",""
"クリアタイプ竪格子ＥＸ２単純段差バルコニー（木調）床周長","実数","Ｍ","0","","","","",""
"クリアタイプ竪格子ＥＸ２単純段差フルフラットバルコニー（木調）床周長","実数","Ｍ","0","","","","",""
"クリアタイプ竪格子ＥＸ２段差有バルコニー（木調）立上り長さ","実数","Ｍ","0","","","","",""
"クリアタイプ竪格子ＥＸ２単純段差バルコニー（木調）立上り長さ","実数","Ｍ","0","","","","",""
"クリアタイプ竪格子ＥＸ２単純段差フルフラットバルコニー（木調）立上り長さ","実数","Ｍ","0","","","","",""
"クリアタイプ竪格子ＥＸ２バルコニー（隣接配置用）（木調）箇所数","実数","ケ所","0","","","","",""
"下屋／外壁接触長（水平）　釉Ｃフラット・釉Ｃマウント・釉Ｃプレーン・スーパートライ１１０タイプⅠ＿Ａ１　ＮＰ202101価格保証拡大","実数","ｍ","5.9","5.9","0","0","",""
"クリアタイプ竪格子ＥＸ２バルコニー（隣接配置用）（木調）腰壁面積","実数","Ｍ２","0","","","","",""
"クリアタイプ横格子ＥＸ２バルコニー腰壁長さ","実数","Ｍ","0","","","","",""
"クリアタイプ横格子ＥＸ２バルコニー箇所数","実数","ケ所","0","","","","",""
"クリアタイプ横格子ＥＸ２バルコニー腰壁面積","実数","Ｍ２","0","","","","",""
"クリアタイプ横格子ＥＸ２段差有バルコニー床周長","実数","Ｍ","0","","","","",""
"クリアタイプ横格子ＥＸ２単純段差バルコニー床周長","実数","Ｍ","0","","","","",""
"下屋／外壁接触長（水平）　釉Ｃフラット・釉Ｃマウント・釉Ｃプレーン・スーパートライ１１０タイプⅠ＿Ａ１　ＨＳ請負202101価格保証拡大","実数","ｍ","5.9","5.9","0","0","",""
"クリアタイプ横格子ＥＸ２単純段差フルフラットバルコニー床周長","実数","Ｍ","0","","","","",""
"クリアタイプ横格子ＥＸ２段差有バルコニー立上り長さ","実数","Ｍ","0","","","","",""
"クリアタイプ横格子ＥＸ２単純段差バルコニー立上り長さ","実数","Ｍ","0","","","","",""
"クリアタイプ横格子ＥＸ２単純段差フルフラットバルコニー立上り長さ","実数","Ｍ","0","","","","",""
"クリアタイプ横格子ＥＸ２バルコニー（隣接配置用）箇所数","実数","ケ所","0","","","","",""
"クリアタイプ横格子ＥＸ２バルコニー（隣接配置用）腰壁長さ","実数","Ｍ","0","","","","",""
"下屋／外壁接触長（水平）　釉Ｃフラット・釉Ｃマウント・釉Ｃプレーン・スーパートライ１１０タイプⅠ＿Ａ２　ＮＰ202101価格保証拡大","実数","ｍ","5.9","5.9","0","0","",""
"クリアタイプ横格子ＥＸ２バルコニー（隣接配置用）腰壁面積","実数","Ｍ２","0","","","","",""
